"Transaction Type","Date","Account Type","Description","Amount","Reference No.","Credits","Debits"
"DIRECT DEBIT",8/7/18,Checking,"GRUBHUBASIANKABABGGRUBHUB.COM  NY            6819",-32.22," ",,$32.22
"DIRECT DEBIT",8/7/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-11.20," ",,$11.20
DEBIT,8/6/18,Checking,"FEDLOANSERVICING STDNT LOAN",-62.78," ",,$62.78
"POS DEBIT",8/6/18,Checking,"GOOGLE *YouTube Pr855-836-3987 CA            6819",-14.99," ",,$14.99
"DIRECT DEBIT",8/6/18,Checking,"Amazon.com        Amzn.com/billWA            6801",-15.48," ",,$15.48
"DIRECT DEBIT",8/6/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-31.46," ",,$31.46
"DIRECT DEBIT",8/6/18,Checking,"AMZN Mktp US      Amzn.com/billWA            6801",-6.59," ",,$6.59
"DIRECT DEBIT",8/6/18,Checking,"GOLDEN ACRES PIZZASTRIPE.COM   CA            6801",-21.40," ",,$21.40
"DIRECT DEBIT",8/6/18,Checking,"DAILY WIRE        817-8503600  TX 6819",-7.99," ",,$7.99
"DIRECT DEBIT",8/6/18,Checking,"GOOGLE*PEAKGAMES  G.CO HELPPAY#CA            6801",-1.99," ",,$1.99
"DIRECT DEBIT",8/6/18,Checking,"AMZN MKTP US AMZN.AMZN.COM/BILLWA            6819",-69.00," ",,$69.00
"DIRECT DEBIT",8/6/18,Checking,"GOLDEN ACRES PIZZASTRIPE.COM   CA            6801",-15.88," ",,$15.88
"DIRECT DEBIT",8/6/18,Checking,"CIRCLE K 07037    AUGUSTA      ME            6801",-13.04," ",,$13.04
"POS DEBIT",8/6/18,Checking,"Wal-Mart Super    AUGUSTA      ME            6801",-33.44," ",,$33.44
"DIRECT DEBIT",8/6/18,Checking,"AMZN MKTP US AMZN.AMZN.COM/BILLWA            6819",-25.99," ",,$25.99
"DIRECT DEBIT",8/6/18,Checking,"KUME SUSHI HIBACHIAUGUSTA      ME            6819",-82.50," ",,$82.50
"DIRECT DEBIT",8/3/18,Checking,"STEAMGAMES.COM 425425-8899642  WA            6819",-4.99," ",,$4.99
"DIRECT DEPOSIT",8/3/18,Checking,"Citizens Bank    PAYROLL",1031.32," ","$1,031.32",
"DIRECT DEPOSIT",8/3/18,Checking,"ROBERT HALF INTE PAYROLL",1211.37," ","$1,211.37",
DEBIT,8/2/18,Checking,"THE GRANITE YMCA ELEC DRAFT",-76.00," ",,$76.00
"POS DEBIT",8/2/18,Checking,"OLD NAVY US 6155  AUGUSTA      ME            6801",-58.11," ",,$58.11
DEBIT,8/1/18,Checking,"VERIZON WIRELESS PAYMENTS",-145.42," ",,$145.42
"POS DEBIT",8/1/18,Checking,"HANNAFORD #823    AUGUSTA      ME            6819",-2.99," ",,$2.99
"POS DEBIT",8/1/18,Checking,"HANNAFORD #823    AUGUSTA      ME            6819",-234.07," ",,$234.07
"POS DEBIT",8/1/18,Checking,"OLD NAVY US 6155  AUGUSTA      ME            6801",-10.54," ",,$10.54
"POS DEBIT",8/1/18,Checking,"OLD NAVY US 6155  AUGUSTA      ME            6801",-27.37," ",,$27.37
"POS DEBIT",8/1/18,Checking,"ULTA #412         AUGUSTA      ME            6801",-60.12," ",,$60.12
"POS DEBIT",8/1/18,Checking,"MAURICE'S #1407 MAAUGUSTA      ME            6801",-7.91," ",,$7.91
"POS DEBIT",8/1/18,Checking,"THE CHILDRENS PLACAUGUSTA      ME            6801",-31.53," ",,$31.53
"POS DEBIT",8/1/18,Checking,"IPSY   *GLAM BAG  HELP.IPSY.COMCA            6801",-10.00," ",,$10.00
DEBIT,7/31/18,Checking,"PROG NORTHERN    INS PREM",-86.51," ",,$86.51
"DIRECT DEBIT",7/31/18,Checking,"AMAZON MKTPLACE PMWWW.AMAZON.COWA            6801",-15.98," ",,$15.98
"POS DEBIT",7/30/18,Checking,"WM SUPERCENTER    AUGUSTA      ME            6801",-10.04," ",,$10.04
"POS DEBIT",7/30/18,Checking,"WM SUPERCENTER    AUGUSTA      ME            6801",-121.89," ",,$121.89
"POS DEBIT",7/30/18,Checking,"DENNY'S #7181     AUGUSTA      ME 6801",-35.58," ",,$35.58
"POS DEBIT",7/30/18,Checking,"SHELL Service StatGOFFSTOWN    NH            6819",-32.94," ",,$32.94
"DIRECT DEBIT",7/30/18,Checking,"DUNKIN #337152 Q35GOFFSTOWN    NH            6801",-10.85," ",,$10.85
"DIRECT DEBIT",7/30/18,Checking,"TST* UBON THAI 2 GMANCHESTER   NH            6801",-23.69," ",,$23.69
"DIRECT DEBIT",7/30/18,Checking,"AMAZON MKTPLACE PMWWW.AMAZON.COWA            6801",-11.99," ",,$11.99
"POS DEBIT",7/27/18,Checking,"WM SUPERCENTER    SALEM        NH            6819",-30.37," ",,$30.37
"DIRECT DEBIT",7/27/18,Checking,"Steamgames.com4259425-9522985  WA            6819",-4.99," ",,$4.99
"POS DEBIT",7/26/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-40.80," ",,$40.80
"POS DEBIT",7/26/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-25.68," ",,$25.68
"DIRECT DEBIT",7/26/18,Checking,"GOOGLE *PeakGames g.co/helppay#CA            6801",-4.99," ",,$4.99
"DIRECT DEBIT",7/26/18,Checking,"AMAZON MKTPLACE PMAMZN.COM/BILLWA            6801",-20.99," ",,$20.99
"DIRECT DEPOSIT",7/26/18,Checking,"ROBERT HALF INTE PAYROLL",1046.90," ","$1,046.90",
"POS DEBIT",7/25/18,Checking,"CIRCLE K 07233    GOFFSTOWN    NH            6819",-10.59," ",,$10.59
"DIRECT DEBIT",7/24/18,Checking,"GOOGLE *PeakGames g.co/helppay#CA            6801",-1.99," ",,$1.99
"DIRECT DEBIT",7/24/18,Checking,"MADDIES           SALEM        NH            6819",-11.93," ",,$11.93
"DIRECT DEBIT",7/24/18,Checking,"AMAZON MKTPLACE PMWWW.AMAZON.COWA            6801",-14.89," ",,$14.89
"DIRECT DEBIT",7/24/18,Checking,"WALMART.COM 800966800-966-6546 AR            6801",-5.33," ",,$5.33
FEE,7/23/18,Checking,"EXCHANGE FEE",-0.69," ",,$0.69
DEBIT,7/23/18,Checking,"WF HOME MTG      AUTO PAY",-1456.84," ",,"$1,456.84"
"POS DEBIT",7/23/18,Checking,"GOOGLE *Duolingo  855-836-3987 CA            6819",-9.99," ",,$9.99
"POS DEBIT",7/23/18,Checking,"WAL-MART #2399    MANCHESTER   NH            6801",-419.19," ",,$419.19
"DIRECT DEBIT",7/23/18,Checking,"MCDONALD'S F7194  GOFFSTOWN    NH            6801",-11.34," ",,$11.34
"POS DEBIT",7/23/18,Checking,"PETSMART # 186    MANCHESTER   NH            6819",-105.99," ",,$105.99
"DIRECT DEBIT",7/23/18,Checking,"SAKU JAPAN.       MANCHESTER   NH            6819",-12.84," ",,$12.84
"DIRECT DEBIT",7/23/18,Checking,"SAKU JAPAN.       MANCHESTER   NH            6819",-9.79," ",,$9.79
"DIRECT DEBIT",7/23/18,Checking,"GOOGLE *PeakGames g.co/helppay#CA            6801",-1.99," ",,$1.99
"DIRECT DEBIT",7/23/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6801",-11.29," ",,$11.29
"DIRECT DEBIT",7/23/18,Checking,"Audible           adbl.co/bill NJ            6819",-9.95," ",,$9.95
"DIRECT DEBIT",7/23/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6801",-17.99," ",,$17.99
"DIRECT DEBIT",7/23/18,Checking,"EUROSTEP COMMERCE MILAN      TV              6801",-24.90," ",,$24.90
CHECK,7/20/18,Checking,,-69.00,139,,$69.00
CHECK,7/20/18,Checking,,-72.00,141,,$72.00
CHECK,7/20/18,Checking,,-72.00,140,,$72.00
"DIRECT DEBIT",7/20/18,Checking,"TIRE WAREHSE 90000GOFFSTOWN    NH            6801",-70.00," ",,$70.00
CHECK,7/19/18,Checking,,-107.80,136,,$107.80
"POS DEBIT",7/19/18,Checking,"SULLY'S SUPERE    GOFFSTOWN    NH            6801",-115.43," ",,$115.43
"POS DEBIT",7/19/18,Checking,"CUMBERLAND FAR    GOFFSTOWN    NH            6819",-36.54," ",,$36.54
"POS DEBIT",7/19/18,Checking,"CUMBERLAND FAR    GOFFSTOWN    NH            6819",-9.50," ",,$9.50
"DIRECT DEBIT",7/19/18,Checking,"GOOGLE *PeakGames g.co/helppay#CA            6801",-1.99," ",,$1.99
"DIRECT DEBIT",7/19/18,Checking,"RS*DOMAINNAME REGI425-2744500  WA            6819",-25.00," ",,$25.00
"DIRECT DEBIT",7/19/18,Checking,"BETTERHELP  *DR.MU8886889296   CA            6819",-180.00," ",,$180.00
"DIRECT DEPOSIT",7/19/18,Checking,"ROBERT HALF INTE PAYROLL",1070.07," ","$1,070.07",
CHECK,7/18/18,Checking,,-56.42,138,,$56.42
"POS DEBIT",7/18/18,Checking,"NETFLIX COM       LOS GATOS    CA            6819",-10.99," ",,$10.99
"POS DEBIT",7/18/18,Checking,"INSTACART SUBSCRIPHTTPSINSTACARCA            6819",-14.99," ",,$14.99
"DIRECT DEBIT",7/18/18,Checking,"TST* UBON THAI 2 GMANCHESTER   NH            6801",-26.94," ",,$26.94
OTHER,7/17/18,Checking,,0.10," ",$0.10,
"POS DEBIT",7/17/18,Checking,"GOFFSTOWN ANIM    MANCHESTER   NH            6801",-487.50," ",,$487.50
"DIRECT DEBIT",7/17/18,Checking,"AMAZON MKTPLACE PMAMZN.COM/BILLWA            6801",-12.95," ",,$12.95
DEBIT,7/16/18,Checking,"CHASE CREDIT CRD AUTOPAY",-98.88," ",,$98.88
"DIRECT DEBIT",7/16/18,Checking,"STEAMGAMES.COM    425-889-9642 WA            6819",-10.07," ",,$10.07
"DIRECT DEBIT",7/16/18,Checking,"SIX FLAGS NEW ENGL413-786-9300 MA            6801",-97.36," ",,$97.36
"POS DEBIT",7/16/18,Checking,"HLU*Hulu 61201170-HULU.COM/BILLCA            6801",-7.99," ",,$7.99
"POS DEBIT",7/16/18,Checking,"WAL-MART #2399    MANCHESTER   NH            6801",-79.25," ",,$79.25
"DIRECT DEBIT",7/16/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6801",-9.88," ",,$9.88
"POS DEBIT",7/16/18,Checking,"CITGO-SILVAMART   MILFORD      NH            6819",-35.58," ",,$35.58
"DIRECT DEBIT",7/16/18,Checking,"Audible           adbl.co/bill NJ            6819",-14.95," ",,$14.95
"DIRECT DEBIT",7/16/18,Checking,"Audible           adbl.co/bill NJ            6819",-12.24," ",,$12.24
"DIRECT DEBIT",7/16/18,Checking,"GOOGLE*PEAKGAMES  G.CO HELPPAY#CA            6801",-4.99," ",,$4.99
"DIRECT DEBIT",7/16/18,Checking,"DUNKIN #339732 Q35BEDFORD      NH            6801",-9.56," ",,$9.56
"DIRECT DEBIT",7/16/18,Checking,"AMAZON MKTPLACE PMAMZN.COM/BILLWA            6801",-9.99," ",,$9.99
"DIRECT DEBIT",7/16/18,Checking,"SHUTTERFLY        800-986-1065 CA            6801",-29.98," ",,$29.98
"POS DEBIT",7/13/18,Checking,"WAL-MART #2399    MANCHESTER   NH            6801",-113.28," ",,$113.28
"DIRECT DEBIT",7/13/18,Checking,"ATLANTIC INNOVATIO888-660-8970 NH            6801",-27.56," ",,$27.56
"DIRECT DEBIT",7/13/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-9.34," ",,$9.34
"DIRECT DEBIT",7/13/18,Checking,"GOLDEN ACRES PIZZASTRIPE.COM   CA            6801",-14.76," ",,$14.76
"DIRECT DEBIT",7/13/18,Checking,"POOR BOYS         LONDONDERRY  NH            6819",-17.31," ",,$17.31
"DIRECT DEBIT",7/13/18,Checking,"AMAZON MKTPLACE PMAMZN.COM/BILLWA            6819",-24.99," ",,$24.99
"DIRECT DEBIT",7/13/18,Checking,"AMAZON MKTPLACE PMAMZN.COM/BILLWA            6819",-96.07," ",,$96.07
"DIRECT DEPOSIT",7/13/18,Checking,"ROBERT HALF INTE PAYROLL",1039.18," ","$1,039.18",
FEE,7/12/18,Checking,"EXCHANGE FEE",-0.55," ",,$0.55
DEBIT,7/12/18,Checking,"CAPITAL ONE      ONLINE PMT",-64.85," ",,$64.85
DEBIT,7/12/18,Checking,"CAPITAL ONE      ONLINE PMT",-244.52," ",,$244.52
"POS DEBIT",7/12/18,Checking,"WWW.DI.FM         HTTPSDI.FM   CO            6819",-70.00," ",,$70.00
"DIRECT DEBIT",7/12/18,Checking,"GOOGLE *PeakGames g.co/helppay#CA            6801",-1.99," ",,$1.99
"DIRECT DEBIT",7/12/18,Checking,"AMAZON MKTPLACE PMAMZN.COM/BILLWA            6819",-18.76," ",,$18.76
"DIRECT DEBIT",7/12/18,Checking,"EUROSTEP COMMERCE MILAN      TV              6819",-19.90," ",,$19.90
CHECK,7/11/18,Checking,,-215.00,135,,$215.00
"DIRECT DEBIT",7/11/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6801",-12.33," ",,$12.33
"DIRECT DEBIT",7/11/18,Checking,"DUNKIN #337152 Q35GOFFSTOWN    NH 6801",-6.51," ",,$6.51
"DIRECT DEBIT",7/10/18,Checking,"Audible           adbl.co/bill NJ            6819",-12.59," ",,$12.59
"DIRECT DEBIT",7/10/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6819",-32.00," ",,$32.00
"DIRECT DEBIT",7/10/18,Checking,"ATLANTIC INNOVATIO888-660-8970 NH            6819",-35.66," ",,$35.66
"POS DEBIT",7/10/18,Checking,"CIRCLE K 07233    GOFFSTOWN    NH            6819",-42.16," ",,$42.16
"DIRECT DEBIT",7/10/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6819",-15.93," ",,$15.93
"DIRECT DEBIT",7/10/18,Checking,"HANNAFORD #8311   MANCHESTER   NH            6801",-173.23," ",,$173.23
"DIRECT DEBIT",7/10/18,Checking,"DUNKIN #357416    MANCHESTER   NH            6819",-2.71," ",,$2.71
DEBIT,7/9/18,Checking,"COMCAST 8773201  820154096",-85.95," ",,$85.95
"POS DEBIT",7/9/18,Checking,"Wal-Mart Store    BEDFORD      NH            6801",-30.14," ",,$30.14
"POS DEBIT",7/9/18,Checking,"Z1 XPRESS - GOFFSTGOFFSTOWN    NH            6819",-38.16," ",,$38.16
"POS DEBIT",7/9/18,Checking,"WM SUPERCENTER    AMHERST      NH            6801",-8.03," ",,$8.03
"POS DEBIT",7/9/18,Checking,"WM SUPERCENTER    AMHERST      NH            6801",-58.00," ",,$58.00
"DIRECT DEBIT",7/9/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-18.58," ",,$18.58
"POS DEBIT",7/9/18,Checking,"GOOGLE *YouTube TV855-836-3987 CA            6819",-35.00," ",,$35.00
"DIRECT DEBIT",7/9/18,Checking,"AMAZON MKTPLACE PMAMZN.COM/BILLWA            6801",-17.97," ",,$17.97
"DIRECT DEBIT",7/9/18,Checking,"GOOGLE *PeakGames g.co/helppay#CA            6801",-4.99," ",,$4.99
"DIRECT DEBIT",7/9/18,Checking,"TST* UBON THAI 2 GMANCHESTER   NH            6819",-30.86," ",,$30.86
"DIRECT DEBIT",7/9/18,Checking,"AMAZON MKTPLACE PMWWW.AMAZON.COWA            6801",-33.84," ",,$33.84
"POS DEBIT",7/6/18,Checking,"GOOGLE *YouTube Pr855-836-3987 CA            6819",-14.99," ",,$14.99
"DIRECT DEBIT",7/6/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6819",-14.18," ",,$14.18
"DIRECT DEBIT",7/6/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6819",-10.84," ",,$10.84
"DIRECT DEBIT",7/6/18,Checking,"AMAZON MKTPLACE PMWWW.AMAZON.COWA            6801",-21.75," ",,$21.75
"DIRECT DEBIT",7/6/18,Checking,"DAILY WIRE        817-8503600  TX            6819",-7.99," ",,$7.99
"DIRECT DEBIT",7/5/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6801",-34.99," ",,$34.99
"DIRECT DEBIT",7/5/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-13.95," ",,$13.95
"DIRECT DEBIT",7/5/18,Checking,"USPS.COM POSTAL ST800-782-6724 MO            6801",-11.25," ",,$11.25
"DIRECT DEBIT",7/5/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-8.70," ",,$8.70
"DIRECT DEPOSIT",7/5/18,Checking,"ROBERT HALF INTE PAYROLL",1145.54," ","$1,145.54",
DEBIT,7/3/18,Checking,"THE GRANITE YMCA ELEC DRAFT",-76.00," ",,$76.00
"POS DEBIT",7/3/18,Checking,"MARKET BASKET 71  BEDFORD      NH            6819",-28.98," ",,$28.98
"DIRECT DEBIT",7/3/18,Checking,"INSTACART         HTTPSINSTACARCA            6819",-70.49," ",,$70.49
"DIRECT DEBIT",7/3/18,Checking,"MADDIES           SALEM        NH            6819",-12.18," ",,$12.18
"DIRECT DEBIT",7/3/18,Checking,"AMAZON MKTPLACE PMWWW.AMAZON.COWA            6801",-7.28," ",,$7.28
DEBIT,7/2/18,Checking,"PROG NORTHERN    INS PREM",-86.51," ",,$86.51
DEBIT,7/2/18,Checking,"VERIZON WIRELESS PAYMENTS",-145.56," ",,$145.56
"DIRECT DEBIT",7/2/18,Checking,"Audible           adbl.co/bill NJ            6819",-12.24," ",,$12.24
"DIRECT DEBIT",7/2/18,Checking,"GOLDEN ACRES PIZZASTRIPE.COM   CA            6801",-33.74," ",,$33.74
"POS DEBIT",7/2/18,Checking,"Z1 XPRESS - GOFFSTGOFFSTOWN    NH            6801",-8.76," ",,$8.76
"POS DEBIT",7/2/18,Checking,"IPSY   *GLAM BAG  HELP.IPSY.COMCA            6801",-10.00," ",,$10.00
"DIRECT DEBIT",7/2/18,Checking,"RiotGam*LoL LN85LD866-373-9211 CA            6819",-20.00," ",,$20.00
"DIRECT DEBIT",7/2/18,Checking,"WWW.NEWEGG.COM    800-390-1119 CA            6819",-255.88," ",,$255.88
"POS DEBIT",7/2/18,Checking,"SULLY'S SUPERE    GOFFSTOWN    NH            6819",-27.81," ",,$27.81
"DIRECT DEBIT",7/2/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6801",-37.84," ",,$37.84
"DIRECT DEBIT",7/2/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6801",-13.34," ",,$13.34
"DIRECT DEBIT",7/2/18,Checking,"VIKSTERS PIZZA    GOFFSTOWN    NH            6801",-30.16," ",,$30.16
"DIRECT DEBIT",7/2/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6801",-38.32," ",,$38.32
"DIRECT DEBIT",7/2/18,Checking,"MADDIES           SALEM        NH            6819",-12.35," ",,$12.35
"DIRECT DEBIT",7/2/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-8.99," ",,$8.99
"DIRECT DEBIT",6/29/18,Checking,"AMAZON MKTPLACE PMAMZN.COM/BILLWA            6801",-88.97," ",,$88.97
"DIRECT DEBIT",6/29/18,Checking,"AMAZON MKTPLACE PMWWW.AMAZON.COWA            6801",-9.99," ",,$9.99
"DIRECT DEBIT",6/29/18,Checking,"AMAZON.COM AMZN.COAMZN.COM/BILLWA            6801",-22.94," ",,$22.94
"DIRECT DEPOSIT",6/29/18,Checking,"ROBERT HALF INTE PAYROLL",1145.52," ","$1,145.52",
"POS DEBIT",6/28/18,Checking,"WINDHAM COUNTR    WINDHAM      NH            6819",-37.79," ",,$37.79
"DIRECT DEBIT",6/28/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6801",-13.99," ",,$13.99
"DIRECT DEBIT",6/28/18,Checking,"VIKSTERS PIZZA    GOFFSTOWN    NH            6801",-29.89," ",,$29.89
"DIRECT DEBIT",6/27/18,Checking,"SMARTSTYLE        AMHERST      NH            6801",-72.99," ",,$72.99
"DIRECT DEBIT",6/27/18,Checking,"ARBYS 8533        NASHUA       NH            6801",-13.49," ",,$13.49
"DIRECT DEBIT",6/27/18,Checking,"SPACE ENTERTAINMENHOOKSETT     NH            6819",-20.00," ",,$20.00
"DIRECT DEBIT",6/27/18,Checking,"WALMART.COM 800966800-966-6546 AR            6801",-19.99," ",,$19.99
"POS DEBIT",6/26/18,Checking,"Wal-Mart Super    AMHERST      NH            6801",-218.43," ",,$218.43
"DIRECT DEBIT",6/26/18,Checking,"GOOGLE *PeakGames g.co/helppay#CA            6801",-1.99," ",,$1.99
"DIRECT DEBIT",6/26/18,Checking,"AMAZON MKTPLACE PMAMZN.COM/BILLWA            6801",-14.84," ",,$14.84
"DIRECT DEBIT",6/26/18,Checking,"Amazon.com        AMZN.COM/BILLWA            6801",-9.98," ",,$9.98
"DIRECT DEBIT",6/26/18,Checking,"RS*DOMAINNAME REGI425-2744500  WA            6819",-50.00," ",,$50.00
FEE,6/25/18,Checking,"EXCHANGE FEE",-0.92," ",,$0.92
"POS DEBIT",6/25/18,Checking,"PAYPAL *COMCODE   402-935-7733 CA            6819",-9.99," ",,$9.99
"POS DEBIT",6/25/18,Checking,"HANNAFORD #831    MANCHESTER   NH            6819",-15.78," ",,$15.78
"POS DEBIT",6/25/18,Checking,"HANNAFORD #831    MANCHESTER   NH            6819",-71.05," ",,$71.05
"POS DEBIT",6/25/18,Checking,"GOOGLE *Duolingo  Mountain ViewCA            6819",-9.99," ",,$9.99
"DIRECT DEBIT",6/25/18,Checking,"AMAZON MKTPLACE PMAMZN.COM/BILLWA            6801",-24.96," ",,$24.96
"DIRECT DEBIT",6/25/18,Checking,"EVE ONLINE        REYKJAVIK                  6819",-33.02," ",,$33.02
"DIRECT DEPOSIT",6/25/18,Checking,"ROBERT HALF INTE PAYROLL",1145.53," ","$1,145.53",
